assets/songs/Random/output26.mp3;1;2;3
assets/songs/Attention/output-2021_04_17--02_37_01-None-1.5-1-weights-improvement-11-3.5538.mp3;2;2;3
assets/songs/Multihot/output-2021_04_17--02_44_22-None-4-1-weights-improvement-09-5.7726.mp3;2;1;2
assets/songs/Random/output25.mp3;1;2;3
assets/songs/Attention/output-2021_04_17--02_42_52-None-1.5-1-weights-improvement-11-3.5538.mp3;1;2;3
assets/songs/MM/output2021_04_16--00_59_00.mp3;1;2;4
assets/songs/MusicVAE/output8_temp-0.33.mp3;1;2;3
assets/songs/Bach/bwv344.mp3;1;2;3
assets/songs/Bach/bwv325.mp3;2;3;3
assets/songs/MM/output2021_04_16--00_59_03.mp3;1;1;1
assets/songs/Multihot/output-2021_04_17--02_44_51-None-4-1-weights-improvement-09-5.7726.mp3;0.5;2;2
assets/songs/MusicVAE/output30_temp-0.96.mp3;1;1;1
