assets/songs/Attention/output-2021_04_17--02_42_52-None-1.5-1-weights-improvement-11-3.5538.mp3;1;2;3
assets/songs/MM/output2021_04_16--00_59_04.mp3;1.5;2;3
assets/songs/Multihot/output-2021_04_17--02_48_48-None-4-1-weights-improvement-09-5.7726.mp3;1;2;2
assets/songs/Random/output22.mp3;2.5;3;4
assets/songs/MusicVAE/output1_temp-0.13.mp3;1.5;3;2
assets/songs/Multihot/output-2021_04_17--02_44_51-None-4-1-weights-improvement-09-5.7726.mp3;1.5;3;2
assets/songs/Bach/bwv17.mp3;3;4;2
assets/songs/Random/output44.mp3;1.5;2;3
assets/songs/Attention/output-2021_04_17--02_33_46-None-1.5-1-weights-improvement-11-3.5538.mp3;2.5;3;4
assets/songs/MusicVAE/output21_temp-0.70.mp3;1.5;3;2
assets/songs/MM/output2021_04_16--00_59_02.mp3;2;3;3
assets/songs/Bach/bwv432.mp3;2.5;4;1
